,player,year,g,mp,per,bpm,vorp,class
1908,John Konchar,2020-21,43.0,13.4,14.8,1.2,0.5,below average
1909,Luke Kornet,2020-21,31.0,11.2,13.3,0.8,0.3,below average
1910,Jeremy Lamb,2020-21,36.0,21.3,15.8,1.4,0.7,below average
1911,Jake Layman,2020-21,45.0,13.9,11.4,-2.1,0.0,below average
1912,Saben Lee,2020-21,48.0,16.3,13.8,-2.0,0.0,below average
1913,Nassir Little,2020-21,48.0,13.3,11.6,-2.7,-0.1,below average
1914,Kevin Love,2020-21,25.0,24.9,15.1,-0.1,0.3,below average
1915,Trey Lyles,2020-21,23.0,15.6,11.4,-1.8,0.0,below average
1916,Thon Maker,2020-21,8.0,9.5,18.6,0.7,0.1,below average
1917,Boban Marjanović,2020-21,33.0,8.2,22.6,-0.8,0.1,below average
1918,Naji Marshall,2020-21,32.0,21.9,11.4,-1.3,0.1,below average
1919,Kelan Martin,2020-21,35.0,9.2,13.9,-2.4,0.0,below average
